"","Reference","Specimen","Type.of.data","AFA","ALA","FAD","LAD","Global.compactness","MD..mm.","MD.Log","Flying","Diving","finest.category","diving.or.not"
"Carentonosaurus_mineaui","Houssaye et al. (2013)","MNHN IMD 51","",14,14,99.7,94.3,0.989,2.7,0.431363764,0,"2","diving","2"
"Dallasaurus_turneri","Houssaye et al. (2013)","SMU Unnb.","",15,15,93.5,89.3,0.736,3.2,0.505149978,0,"2","diving","2"
"Clidastes_sp.","Houssaye et al. (2013)","RMM 1788","",17,17,83.6,72.1,0.827,8.1,0.908485019,0,"2","diving","2"
"Tylosaurus_sp.","Houssaye et al. (2013)","RMM 5610","",14,18,100.5,66,0.809,12.5,1.096910013,0,"2","diving","2"
"Platecarpus_sp.","Houssaye et al. (2013)","UCB 34781","",15,16,93.5,83.6,0.85,12,1.079181246,0,"2","diving","2"
"Metriorhynchid_indet.","Houssaye et al. (2013)","MHBR 208 1969","",9,10,166.1,157.3,0.683,16.9,1.227886705,0,"2","diving","2"
"Crocodylus_sp.","Houssaye et al. (2013)","Unnb.","",29,29,0,0,0.974,4.5,0.653212514,0,"2","diving","2"
"Phoca_vitulina","Houssaye et al. (2013)","IPB M 60","",29,29,0,0,0.436,7.8,0.892094603,0,"2","diving","2"
"Balaenoptera_brydei","Houssaye et al. (2013)","NSM M 32599","",29,29,0,0,0.611,45.8,1.660865478,0,"2","diving","2"
"Crocodylus_niloticus","Canoville et al. (2017)","ZFMK 5249","",29,29,0,0,0.96,13.56,1.13225969,0,"0","diving","0"
"Struthio_camelus","Canoville et al. (2017)","ZFMK 83SK13","",29,29,0,0,0.627,15.11,1.179264464,0,"0","none","0"
"Casuarius_casuarius","Canoville et al. (2017)","ZFMK 79SK5","",29,29,0,0,0.639,11.41,1.057285644,0,"0","none","0"
"Eudyptes_chrysocome","Canoville et al. (2017)","ZFMK 75SK64","",29,29,0,0,0.886,4.94,0.693726949,0,"2","diving","2"
"Aptenodytes_patagonicus","Canoville et al. (2017)","ZFMK 011SK18","",29,29,0,0,0.788,5.17,0.713490543,0,"2","diving","2"
"Ornithorhynchus_anatinus","Canoville et al. (2017)","AMNH 77 856","",29,29,0,0,0.92,1.91,0.281033367,0,"2","diving","2"
"Tachyglossus_aculeatus_setosus","Canoville et al. (2017)","AMNH 65 833","",29,29,0,0,0.643,3,0.477121255,0,"0","none","0"
"Zaglossus_bruijni","Canoville et al. (2017)","AMNH 66 194","",29,29,0,0,0.524,4.6,0.662757832,0,"0","none","0"
"Perameles_nasuta","Canoville et al. (2017)","MHNL 50.00.0989","",29,29,0,0,0.694,2.48,0.394451681,0,"0","none","0"
"Didelphis_sp.","Canoville et al. (2017)","MHNL 50.00.0917","",29,29,0,0,0.543,2.77,0.442479769,0,"0","none","0"
"Macropus_rufus","Canoville et al. (2017)","MHNL 50.00.0931","",29,29,0,0,0.733,8.8,0.944482672,0,"0","none","0"
"Vombatus_ursinus","Canoville et al. (2017)","MHNL 50.00.0785","",29,29,0,0,0.852,4.96,0.695481676,0,"0","none","0"
"Elephas_maximus","Canoville et al. (2017)","MHNL 50.00.2671","",29,29,0,0,0.481,39.7,1.598790507,0,"0","none","0"
"Dugong_dugon","Canoville et al. (2017)","MHNL 50.00.2521","",29,29,0,0,0.977,26.0387,1.415619298,0,"2","diving","2"
"Choloepus_didactylus","Canoville et al. (2017)","MNHN-1999.1062","",29,29,0,0,0.556,21.319,1.32876683,0,"0","none","0"
"Galagoides_demidovii","Canoville et al. (2017)","ZFMK MAM_1981.1730","",29,29,0,0,0.556,1.06,0.025305865,0,"0","none","0"
"Cercopithecus_mona","Canoville et al. (2017)","ZFMK MAM_1976.0302","",29,29,0,0,0.53,3.82,0.582063363,0,"0","none","0"
"Gorilla_gorilla","Canoville et al. (2017)","MHNL 50.00.1 751","",29,29,0,0,0.532,12.4,1.093421685,0,"0","none","0"
"Castor_fiber","Canoville et al. (2017)","MHNL 50.00.0788","",29,29,0,0,0.89,4.4337,0.646766304,0,"0","diving","0"
"Apodemus_sp.","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.683,0.4752,-0.323123568,0,"0","none","0"
"Arvicola_amphibius","Canoville et al. (2017)","ZFMK MAM_2012.0372","",29,29,0,0,0.638,0.72,-0.142667504,0,"0","diving","0"
"Dasyprocta__punctata","Canoville et al. (2017)","ZFMK MAM_2012.0472","",29,29,0,0,0.571,2.91,0.463892989,0,"0","none","0"
"Myoprocta_pratti","Canoville et al. (2017)","ZFMK MAM_2001.0023","",29,29,0,0,0.566,2.22,0.346352974,0,"0","none","0"
"Sciurus_vulgaris","Canoville et al. (2017)","ZFMK MAM_1989.0261","",29,29,0,0,0.67,1.37,0.136720567,0,"0","none","0"
"Myocastor_coypus","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.664,3.85,0.58546073,0,"2","diving","2"
"Lepus_europaeus","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.71,3.59,0.555094449,0,"0","none","0"
"Erinaceus_europaeus","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.638,2.08,0.318063335,0,"0","none","0"
"Crocidura_russula","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.695,0.4186,-0.378200776,0,"0","none","0"
"Galemys_pyrenaicus","Canoville et al. (2017)","MHNL 50.00.046","",29,29,0,0,0.576,0.7716,-0.112607781,0,"0","diving","0"
"Enhydra_lutris","Canoville et al. (2017)","MHNL 50.00.1 023","",29,29,0,0,0.908,6.985,0.84416641,0,"2","diving","2"
"Martes_martes","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.65,2.37,0.374748346,0,"0","none","0"
"Martes_foina","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.673,2.23,0.348304863,0,"0","none","0"
"Neovison_vison","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.715,2.13,0.328379603,0,"0","diving","0"
"Genetta_genetta","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.659,1.62,0.209515015,0,"0","none","0"
"Canis_lupus","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.612,7.6,0.880813592,0,"0","none","0"
"Vulpes_vulpes","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.563,4.16,0.619093331,0,"0","none","0"
"Felis_silvestris","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.656,2.81,0.44870632,0,"0","none","0"
"Panthera_leo_persica","Canoville et al. (2017)","AMNH 54995","",29,29,0,0,0.532,14.5,1.161368002,0,"0","none","0"
"Equus_caballus","Canoville et al. (2017)","MHNL 50.00.2029","",29,29,0,0,0.68,18.23,1.260786669,0,"0","none","0"
"Tapirus_indicus","Canoville et al. (2017)","MHNL 50.00.2038","",29,29,0,0,0.596,20.2,1.305351369,0,"0","diving","0"
"Tapirus_terrestris","Canoville et al. (2017)","ZFMK field no. 418","",29,29,0,0,0.763,15.19,1.181557774,0,"0","diving","0"
"Rhinoceros_sondaicus","Canoville et al. (2017)","MHNL 50.00.2041","",29,29,0,0,0.857,31.78,1.502153893,0,"0","none","0"
"Ceratotherium_simum","Canoville et al. (2017)","AMNH 51855","",29,29,0,0,0.666,55.45,1.74390155,0,"0","none","0"
"Camelus_bactrianus","Canoville et al. (2017)","MHNL 50.00.2066","",29,29,0,0,0.619,42.9033,1.632490698,0,"0","none","0"
"Sus_scrofa","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.544,12.88,1.109915863,0,"0","none","0"
"Giraffa_camelopardalis","Canoville et al. (2017)","MHNL 50.00.2060","",29,29,0,0,0.553,21.4,1.330413773,0,"0","none","0"
"Bison_bison","Canoville et al. (2017)","MHNL 50.00.2450","",29,29,0,0,0.644,27.1,1.432969291,0,"0","none","0"
"Ovis_aries","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.621,11.27,1.051923916,0,"0","none","0"
"Hemitragus_jayakari","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.606,10.56,1.023663918,0,"0","none","0"
"Aepyceros_melampus","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.669,11.45,1.058805487,0,"0","none","0"
"Cervus_elaphus_canadensis","Canoville et al. (2017)","MHNL 50.00.2211","",29,29,0,0,0.506,20.28,1.307067951,0,"0","none","0"
"Capreolus_capreolus","Canoville et al. (2017)","p. c. VB","",29,29,0,0,0.451,7.89,0.897077003,0,"0","none","0"
"Hippopotamus_amphibius","Canoville et al. (2017)","MHNL 50.00.2123","",29,29,0,0,0.794,46.7136,1.669443338,0,"0","diving","0"
"Choeropsis_liberiensis","Canoville et al. (2017)","AMNH 148452","",29,29,0,0,0.729,16.68,1.222196046,0,"0","diving","0"
"Orcinus_orca","Canoville et al. (2017)","AMNH 34261","",29,29,0,0,0.879,39.38,1.595275712,0,"2","diving","2"
"Lissodelphis_borealis","Canoville et al. (2017)","AMNH 31422","",29,29,0,0,0.743,6.18,0.790988475,0,"2","diving","2"
"Monodon_monoceros","Canoville et al. (2017)","MHNL 50.00.1027","",29,29,0,0,0.736,27.5065,1.439435333,0,"2","diving","2"
"Delphinapterus_leucas","Canoville et al. (2017)","AMNH 34936","",29,29,0,0,0.858,30.77,1.488127496,0,"2","diving","2"
"Behemotops_katsuiei","Hayashi et al. (2013)","AMP 22","",22,22,28.1,23.03,0.859,37.8,1.5774918,0,"2","diving","2"
"Paleoparadoxia_sp","Hayashi et al. (2013)","AMP AK1001","",23,26,23.03,7.25,0.964,42,1.62324929,0,"2","diving","2"
"Ashoroa_laticosta","Hayashi et al. (2013)","AMP 21/UHR 31990","",22,22,28.1,23.03,0.904,31,1.491361694,0,"2","diving","2"
"Desmostylus_hesperus","Hayashi et al. (2013)","UHR18466","",22,25,23.03,11.6,0.611,47.2,1.673941999,0,"2","diving","2"
"Trichechus_manatus","Hayashi et al. (2013)","NSM M 34694","",29,29,0,0,0.994,77.8,1.890979597,0,"2","diving","2"
"Procavia_capensis","Hayashi et al. (2013)","NSM M 34971","",29,29,0,0,0.638,2.5,0.397940009,0,"0","none","0"
"Orycteropus_afer","Hayashi et al. (2013)","NSM M 34334","",29,29,0,0,0.563,8.8,0.944482672,0,"0","none","0"
"Capra_aegagrus","Hayashi et al. (2013)","UFGK unnumbered","",29,29,0,0,0.758,11.8,1.071882007,0,"0","none","0"
"Rangifer_tarandus","Hayashi et al. (2013)","IPB M47","",29,29,0,0,0.72,19.2,1.283301229,0,"0","none","0"
"Tremarctos_ornatus","Hayashi et al. (2013)","ZFMK 97.275","",29,29,0,0,0.757,13,1.113943352,0,"0","none","0"
"Basilosaurus","Houssaye et al. (2015)","WH-074","CT scan",20,21,41.2,33.9,0.959,42.9,1.632457292,0,"2","diving","2"
"Dorudon","Houssaye et al. (2015)","UM 101222 (WH-224)","",20,21,41.3,33.9,0.945,23.3,1.367355921,0,"2","diving","2"
"Rodhocetus","Houssaye et al. (2015)","GSP-UM 3012","CT scan",19,20,47.8,37.8,0.912,14.98,1.175511813,0,"2","diving","2"
"Nothosaurus_sp.","Klein et al. (2019)","SMNS 80266","Thin section",2,2,242,237,0.949,12.5,1.096910013,0,"2","diving","2"
"Serpianosaurus","Klein et al. (2019)","PIMUZ T 1565","Thin section",2,2,242,237,0.92,23.9,1.378397901,0,"2","diving","2"
"Neusticosaurus","Klein et al. (2019)","PIMUZ T 4757","Thin section",1,1,247.2,242,0.939,4.42,0.645422269,0,"2","diving","2"
"Ceresiosaurus","Klein et al. (2019)","PIMUZ T 5622","",2,2,242,237,0.941,6.46,0.810232518,0,"2","diving","2"
"Mollesaurus","Talevi & Fernandez (2012)","MOZ 2282","",6,7,171.6,168.4,0.735,39.5,1.596597096,0,"2","diving","2"
"Nanophoca_vitulinoides","Dewaele et al. (2019)","Histos 1935","Thin section",24,25,14.2,11.6,0.998,7.6,0.880813592,0,"2","diving","2"
"Callophoca_obscura","Dewaele et al. (2019)","Histos 170","Thin section",27,27,5.3,3.6,0.727,17,1.230448921,0,"2","diving","2"
"Apteryx_owenii","This study","UMZC378iii","CT scan",29,29,0,0,0.773,2.54,0.404833717,0,"0","none","0"
"Atlantisia_rogersi","This study","NHMUK_1924.1.2","CT scan",29,29,0,0,0.764,0.983,-0.007446482,0,"0","none","0"
"Caloenas_nicobarica","This study","","CT scan",29,29,0,0,0.7,5.38,0.730782276,0,"0","none","0"
"Phalacrocorax_harris","This study","NHMUK_S1972.1_0017","CT scan",29,29,0,0,0.861,2.89,0.460897843,0,"2","diving","2"
"Spheniscus_humboldti","This study","NHMUK_S_2000.70000","CT scan",29,29,0,0,0.908,4.08,0.610660163,0,"2","diving","2"
"Strigiops_habroptilus","This study","NHMUK_1881.1.17","CT scan",29,29,0,0,0.667,1.97,0.294466226,0,"0","none","0"
"Mammuthus_primigenius","Houssaye et al. (2016)","ZFMK 98 395","",28,29,3.6,0,0.63,44,1.643452676,0,"0","none","0"
"Ursus_spelaeus","Houssaye et al. (2016)","STIPB M6280Â ","",29,29,0,0,0.83,21.5,1.33243846,0,"0","none","0"
"Rhinocerus_unicornis","Houssaye et al. (2016)","MNHN ZM AC 1960-59","",29,29,0,0,0.77,35.6,1.551449998,0,"0","none","0"
"Bison_bonasus","Houssaye et al. (2016)","ZFMK 2010-303","",29,29,0,0,0.48,28.2,1.450249108,0,"0","none","0"
"Dasyurus_maculatus","This study","UMZC_A6","",29,29,0,0,0.747,3.28,0.515873844,0,"0","none","0"
"Desmana_moschata","This study","UMMZ_124125","",29,29,0,0,0.888,2.49,0.396199347,0,"2","diving","2"
"Diplomesodon_pulchellum","This study","FMNH137436","",29,29,0,0,0.77,0.436,-0.360513511,0,"0","none","0"
"Euroscaptor_micrura","This study","NHMUK_99_10_25.1","",29,29,0,0,0.724,0.804,-0.094743951,0,"0","none","0"
"Hemiechinus_azurites","This study","156626","",29,29,0,0,0.633,2.16,0.334453751,0,"0","none","0"
"Lutra_vulgaris","This study","UMZC_K2768","",29,29,0,0,0.882,4.9,0.69019608,0,"2","diving","2"
"Monodelphis_domestica","This study","UMMZ_165514","",29,29,0,0,0.686,1.26,0.100370545,0,"0","none","0"
"Mustela_nivalis","This study","TIFFS0000.tifs","",29,29,0,0,0.746,0.834,-0.078833949,0,"0","none","0"
"Noemys_fodies","This study","NHMUK_1973.917","",29,29,0,0,0.848,0.495,-0.305394801,0,"2","diving","2"
"Rhynchocyon_petersi","This study","NHMUK_2D_1886.9.21.1","",29,29,0,0,0.705,2.21,0.344392274,0,"0","none","0"
"Taxidea_taxus","This study","UMZC_K1706","",29,29,0,0,0.694,6.28,0.797959644,0,"0","none","0"
"Tenrec_ecaudatus","This study","UMMZ_138441","",29,29,0,0,0.72,2.25,0.352182518,0,"0","none","0"
"Rattus_rattus","This study","","",29,29,0,0,0.751,0.865,-0.062983893,0,"0","none","0"
"Microgale_thomasi","This study","UMMZ_172202","",29,29,0,0,0.709,0.599,-0.222573178,0,"0","none","0"
"Hydromys_chrysogaster","This study","NHMUK_ZD_1998_134","",29,29,0,0,0.862,1.57,0.195899652,0,"2","diving","2"
"Baryonyx","This study","BMNH 9951","Thin section",13,13,129.4,127,0.921,42.2,1.625312451,0,"UNKNOWN","UNKNOWN","UNKNOWN"
"Spinosaurus","This study","FSAC-KK 11888","Thin section",14,14,100.5,93.9,0.931,35.1,1.545307116,0,"UNKNOWN","UNKNOWN","UNKNOWN"
"Spinosaurus.1","Nathan et al",NA,"D same as Fabbri Cg scaled by 0.9",14,14,100.5,93.9,0.8379,35.1,1.54531,0,"UNKNOWN","UNKNOWN","UNKNOWN"
"Spinosaurus.2","Nathan et al",NA,"D scaled to adult Cg same as Fabbri",14,14,100.5,93.9,0.931,57.4517,1.7593,0,"UNKNOWN","UNKNOWN","UNKNOWN"
"Spinosaurus.3","Nathan et al",NA,"D scaled to adult Cg scaled by 0.9",14,14,100.5,93.9,0.8379,57.4517,1.7593,0,"UNKNOWN","UNKNOWN","UNKNOWN"
"Baryonyx.1","Nathan et al",NA,"D same as Fabbri Cg scaled by 0.9",13,13,129.4,127,0.8289,42.2,1.62531,0,"UNKNOWN","UNKNOWN","UNKNOWN"
